GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
got_pttk_po,com.example.got_pttk_po.exceptionHandlers,AppExceptionDTO,51,0,0,0,19,0,8,0,8,0
got_pttk_po,com.example.got_pttk_po.exceptionHandlers,RestResponseExceptionHandler,208,3,6,0,37,1,8,1,5,1
got_pttk_po,com.example.got_pttk_po.services,WycieczkaService,756,24,62,0,140,9,65,1,34,1
got_pttk_po,com.example.got_pttk_po.services,TurystaService,127,9,2,0,17,4,13,1,12,1
got_pttk_po,com.example.got_pttk_po.services,PrzodownikService,127,9,2,0,17,4,13,1,12,1
got_pttk_po,com.example.got_pttk_po.services,OdznakaService,36,6,0,0,5,3,5,1,5,1
got_pttk_po,com.example.got_pttk_po.services,UzytkownikService,36,6,0,0,5,3,5,1,5,1
got_pttk_po,com.example.got_pttk_po.services,ZdobywanaOdznakaService,543,18,46,0,101,7,48,1,25,1
got_pttk_po,com.example.got_pttk_po.services,TrasaService,83,6,0,0,12,3,10,1,10,1
got_pttk_po,com.example.got_pttk_po.services,TrasaWycieczkiService,857,21,66,0,154,8,58,1,25,1
got_pttk_po,com.example.got_pttk_po.services,PodgrupaService,52,6,0,0,8,3,7,1,7,1
got_pttk_po,com.example.got_pttk_po.services,GrupaGorskaService,164,0,8,0,32,0,13,0,9,0
got_pttk_po,com.example.got_pttk_po.config,SpringFoxConfig,0,32,0,0,0,14,0,3,0,3
got_pttk_po,com.example.got_pttk_po.entities,GrupaGorskaEntity,53,0,14,0,10,0,12,0,5,0
got_pttk_po,com.example.got_pttk_po.entities,TrasaEntity,213,0,40,0,41,0,37,0,17,0
got_pttk_po,com.example.got_pttk_po.entities,AdministratorDanychGotEntity,53,0,14,0,10,0,12,0,5,0
got_pttk_po,com.example.got_pttk_po.entities,ReferatWeryfikacyjnyEntity,76,0,16,0,16,0,15,0,7,0
got_pttk_po,com.example.got_pttk_po.entities,WycieczkaEntity,188,0,36,0,38,0,33,0,15,0
got_pttk_po,com.example.got_pttk_po.entities,PunktKontrolnySasiedziEntity,90,0,22,0,16,0,18,0,7,0
got_pttk_po,com.example.got_pttk_po.entities,UprawnieniaPrzodownikaEntity,90,0,22,0,16,0,18,0,7,0
